run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
303,RANDOM_WITHIN_TIES,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,7e2b8d0351e6f341d330d29a183e98f28a8cb76d0e8a9f2fa769b4520409ced3,30,17,0.293662,0.293662,-0.112427,1.886653,2.612024,1.933835,30,,,stateful_replay_over_full_engine_hard_pass
304,RANDOM_WITHIN_TIES,2d5bbb00dd1e4efd89baf6a62476b24793437b742fc7b7e5acbeac084163a55b,2d5bbb00dd1e4efd89baf6a62476b24793437b742fc7b7e5acbeac084163a55b,30,17,0.312663,0.312663,-0.111359,1.961308,2.807699,2.042967,30,,,stateful_replay_over_full_engine_hard_pass
305,RANDOM_WITHIN_TIES,1a51c04dd60c9f66432444f046e7c5928d9b01a7ca9d7e06d29da0d6a403c742,1a51c04dd60c9f66432444f046e7c5928d9b01a7ca9d7e06d29da0d6a403c742,30,17,0.270080,0.270080,-0.126511,1.717156,2.134839,1.873613,30,,,stateful_replay_over_full_engine_hard_pass
306,RANDOM_WITHIN_TIES,522533d3c967db3dc321e586236f896ce611c772fa8b83dac53cbe4af2917ce7,522533d3c967db3dc321e586236f896ce611c772fa8b83dac53cbe4af2917ce7,30,15,0.358310,0.358310,-0.107554,2.201070,3.331429,2.174409,30,,,stateful_replay_over_full_engine_hard_pass
307,RANDOM_WITHIN_TIES,9ff127728adfd75a211dcc3c4b704a4de7e5b29d870b1d698062fbd95c52ff4d,9ff127728adfd75a211dcc3c4b704a4de7e5b29d870b1d698062fbd95c52ff4d,30,15,0.363625,0.363625,-0.107554,2.201070,3.380854,2.212966,30,,,stateful_replay_over_full_engine_hard_pass
308,RANDOM_WITHIN_TIES,1a51c04dd60c9f66432444f046e7c5928d9b01a7ca9d7e06d29da0d6a403c742,1a51c04dd60c9f66432444f046e7c5928d9b01a7ca9d7e06d29da0d6a403c742,30,17,0.270080,0.270080,-0.126511,1.717156,2.134839,1.873613,30,,,stateful_replay_over_full_engine_hard_pass
309,RANDOM_WITHIN_TIES,3cdbaadd421a786a1d7c45bf6dcb90f054fd32bb57cd58581aafb5a7947b5990,3cdbaadd421a786a1d7c45bf6dcb90f054fd32bb57cd58581aafb5a7947b5990,30,16,0.293307,0.293307,-0.112876,1.854593,2.598500,1.948744,30,,,stateful_replay_over_full_engine_hard_pass
310,RANDOM_WITHIN_TIES,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,30,17,0.307347,0.307347,-0.111359,1.961308,2.759964,2.007372,30,,,stateful_replay_over_full_engine_hard_pass
311,RANDOM_WITHIN_TIES,7f7e7954891ec55a8358fa771bdb93f1c26c1e660dcbe44bbcbe5d1b3040661e,7f7e7954891ec55a8358fa771bdb93f1c26c1e660dcbe44bbcbe5d1b3040661e,30,16,0.330574,0.330574,-0.109592,2.078431,3.016403,2.083502,30,,,stateful_replay_over_full_engine_hard_pass
312,RANDOM_WITHIN_TIES,2bd4929608eb1765b0e5ff25b9c4f632be0a358b434b9bf2368cdbae70681029,2bd4929608eb1765b0e5ff25b9c4f632be0a358b434b9bf2368cdbae70681029,30,16,0.306992,0.306992,-0.111799,1.930854,2.745926,2.024051,30,,,stateful_replay_over_full_engine_hard_pass
